,no-0,no-1,experiment,g1,g2,exact_distance,BRANCH,BRANCH_FAST,BRANCH_TIGHT,BRANCH_UNIFORM,BRANCH_COMPACT,PARTITION,HYBRID,RING,ANCHOR_AWARE_GED,WALKS,IPFP,BIPARTITE,SUBGRAPH,NODE,RING_ML,BIPARTITE_ML,REFINE,BP_BEAM,SIMULATED_ANNEALING,HED,STAR,v
42,42,42,126,Graph with 6 nodes and 4 edges,Graph with 6 nodes and 6 edges,2.0,"(8.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 5), (5, 2)])","(8.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 5), (5, 2)])","(8.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 5), (5, 2)])","(8.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 5), (5, 2)])","(inf, [])","(inf, [])","(inf, [])","(4.0, [(0, 1), (1, 5), (2, 4), (3, 0), (4, 3), (5, 2)])","(2.0, [(0, 1), (1, 2), (2, 3), (3, 5), (4, 4), (5, 0)])","(4.0, [(0, 3), (1, 4), (2, 2), (3, 0), (4, 5), (5, 1)])","(2.0, [(0, 2), (1, 1), (2, 3), (3, 0), (4, 4), (5, 5)])","(8.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 5), (5, 2)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 1), (1, 0), (2, 3), (3, 4), (4, 2), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 5), (5, 4)])","(2.0, [(0, 2), (1, 1), (2, 4), (3, 0), (4, 3), (5, 5)])","(2.0, [(0, 3), (1, 1), (2, 5), (3, 0), (4, 2), (5, 4)])","(2.0, [(0, 5), (1, 1), (2, 4), (3, 0), (4, 3), (5, 2)])","(inf, [])","(8.0, [(0, 1), (1, 3), (2, 4), (3, 0), (4, 5), (5, 2)])",6
43,43,43,129,Graph with 6 nodes and 4 edges,Graph with 6 nodes and 10 edges,6.0,"(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(8.0, [(0, 3), (1, 5), (2, 1), (3, 0), (4, 4), (5, 2)])","(8.0, [(0, 1), (1, 4), (2, 2), (3, 5), (4, 0), (5, 3)])","(6.0, [(0, 0), (1, 1), (2, 5), (3, 2), (4, 4), (5, 3)])","(6.0, [(0, 0), (1, 4), (2, 1), (3, 5), (4, 2), (5, 3)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(26.0, [(0, 18446744073709551614), (1, 1), (2, 18446744073709551614), (3, 4), (4, 2), (5, 0), (18446744073709551614, 3), (18446744073709551614, 5)])","(6.0, [(0, 4), (1, 0), (2, 2), (3, 3), (4, 1), (5, 5)])","(6.0, [(0, 3), (1, 4), (2, 5), (3, 1), (4, 0), (5, 2)])","(6.0, [(0, 0), (1, 1), (2, 2), (3, 4), (4, 3), (5, 5)])","(inf, [])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])",6
44,44,44,132,Graph with 6 nodes and 4 edges,Graph with 6 nodes and 12 edges,8.0,"(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(10.0, [(0, 0), (1, 1), (2, 3), (3, 5), (4, 2), (5, 4)])","(8.0, [(0, 4), (1, 0), (2, 3), (3, 1), (4, 2), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 5), (1, 4), (2, 2), (3, 1), (4, 3), (5, 0)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 4), (3, 3), (4, 5), (5, 2)])","(8.0, [(0, 2), (1, 0), (2, 5), (3, 3), (4, 1), (5, 4)])","(8.0, [(0, 4), (1, 2), (2, 5), (3, 0), (4, 3), (5, 1)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])",6
45,45,45,135,Graph with 6 nodes and 6 edges,Graph with 6 nodes and 4 edges,2.0,"(8.0, [(0, 3), (1, 0), (2, 5), (3, 1), (4, 2), (5, 4)])","(8.0, [(0, 3), (1, 0), (2, 5), (3, 1), (4, 2), (5, 4)])","(8.0, [(0, 3), (1, 0), (2, 5), (3, 1), (4, 2), (5, 4)])","(8.0, [(0, 3), (1, 0), (2, 5), (3, 1), (4, 2), (5, 4)])","(inf, [])","(inf, [])","(inf, [])","(4.0, [(0, 3), (1, 0), (2, 1), (3, 2), (4, 4), (5, 5)])","(2.0, [(0, 3), (1, 1), (2, 5), (3, 4), (4, 2), (5, 0)])","(6.0, [(0, 3), (1, 5), (2, 1), (3, 0), (4, 4), (5, 2)])","(2.0, [(0, 5), (1, 0), (2, 3), (3, 2), (4, 4), (5, 1)])","(8.0, [(0, 3), (1, 0), (2, 5), (3, 1), (4, 2), (5, 4)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 3), (2, 2), (3, 5), (4, 1), (5, 4)])","(6.0, [(0, 3), (1, 5), (2, 0), (3, 4), (4, 1), (5, 2)])","(2.0, [(0, 5), (1, 0), (2, 1), (3, 2), (4, 4), (5, 3)])","(4.0, [(0, 2), (1, 4), (2, 3), (3, 5), (4, 0), (5, 1)])","(2.0, [(0, 5), (1, 0), (2, 1), (3, 2), (4, 4), (5, 3)])","(inf, [])","(8.0, [(0, 3), (1, 0), (2, 5), (3, 1), (4, 2), (5, 4)])",6
46,46,46,138,Graph with 6 nodes and 6 edges,Graph with 6 nodes and 6 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(2.0, [(0, 0), (1, 1), (2, 3), (3, 5), (4, 2), (5, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(4.0, [(0, 0), (1, 5), (2, 3), (3, 1), (4, 2), (5, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(2.0, [(0, 0), (1, 1), (2, 4), (3, 2), (4, 5), (5, 3)])","(2.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 5), (5, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])",6
47,47,47,141,Graph with 6 nodes and 6 edges,Graph with 6 nodes and 10 edges,4.0,"(4.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0), (5, 5)])","(4.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0), (5, 5)])","(8.0, [(0, 3), (1, 0), (2, 1), (3, 4), (4, 2), (5, 5)])","(4.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(4.0, [(0, 3), (1, 5), (2, 1), (3, 4), (4, 0), (5, 2)])","(4.0, [(0, 3), (1, 0), (2, 5), (3, 4), (4, 1), (5, 2)])","(4.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0), (5, 5)])","(4.0, [(0, 5), (1, 0), (2, 2), (3, 1), (4, 4), (5, 3)])","(4.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0), (5, 5)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(12.0, [(0, 0), (1, 2), (2, 1), (3, 4), (4, 3), (5, 5)])","(6.0, [(0, 2), (1, 4), (2, 3), (3, 0), (4, 5), (5, 1)])","(4.0, [(0, 5), (1, 2), (2, 0), (3, 1), (4, 3), (5, 4)])","(4.0, [(0, 5), (1, 2), (2, 3), (3, 1), (4, 4), (5, 0)])","(4.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0), (5, 5)])","(inf, [])","(4.0, [(0, 3), (1, 1), (2, 2), (3, 4), (4, 0), (5, 5)])",6
48,48,48,144,Graph with 6 nodes and 6 edges,Graph with 6 nodes and 12 edges,6.0,"(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(6.0, [(0, 0), (1, 2), (2, 1), (3, 4), (4, 3), (5, 5)])","(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(6.0, [(0, 0), (1, 1), (2, 3), (3, 4), (4, 2), (5, 5)])","(6.0, [(0, 3), (1, 1), (2, 2), (3, 0), (4, 5), (5, 4)])","(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(6.0, [(0, 3), (1, 2), (2, 4), (3, 1), (4, 0), (5, 5)])","(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(10.0, [(0, 0), (1, 4), (2, 2), (3, 1), (4, 3), (5, 5)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(20.0, [(0, 2), (1, 1), (2, 3), (3, 18446744073709551614), (4, 5), (5, 0), (18446744073709551614, 4)])","(6.0, [(0, 1), (1, 3), (2, 0), (3, 2), (4, 4), (5, 5)])","(6.0, [(0, 5), (1, 0), (2, 4), (3, 2), (4, 3), (5, 1)])","(6.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 4), (5, 2)])","(6.0, [(0, 0), (1, 2), (2, 1), (3, 4), (4, 5), (5, 3)])","(inf, [])","(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])",6
49,49,49,147,Graph with 6 nodes and 10 edges,Graph with 6 nodes and 4 edges,6.0,"(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(6.0, [(0, 5), (1, 1), (2, 2), (3, 4), (4, 3), (5, 0)])","(6.0, [(0, 5), (1, 4), (2, 1), (3, 3), (4, 2), (5, 0)])","(8.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 4), (5, 2)])","(6.0, [(0, 2), (1, 0), (2, 1), (3, 5), (4, 4), (5, 3)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(12.0, [(0, 2), (1, 5), (2, 4), (3, 1), (4, 3), (5, 0)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(6.0, [(0, 1), (1, 4), (2, 2), (3, 3), (4, 0), (5, 5)])","(6.0, [(0, 2), (1, 3), (2, 1), (3, 5), (4, 4), (5, 0)])","(6.0, [(0, 2), (1, 0), (2, 5), (3, 3), (4, 4), (5, 1)])","(inf, [])","(8.0, [(0, 3), (1, 5), (2, 2), (3, 0), (4, 1), (5, 4)])",6
50,50,50,150,Graph with 6 nodes and 10 edges,Graph with 6 nodes and 6 edges,4.0,"(10.0, [(0, 1), (1, 2), (2, 3), (3, 0), (4, 4), (5, 5)])","(10.0, [(0, 1), (1, 2), (2, 3), (3, 0), (4, 4), (5, 5)])","(4.0, [(0, 4), (1, 1), (2, 2), (3, 0), (4, 3), (5, 5)])","(10.0, [(0, 1), (1, 2), (2, 3), (3, 0), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(6.0, [(0, 2), (1, 3), (2, 4), (3, 0), (4, 5), (5, 1)])","(6.0, [(0, 3), (1, 2), (2, 0), (3, 5), (4, 1), (5, 4)])","(6.0, [(0, 2), (1, 4), (2, 5), (3, 0), (4, 3), (5, 1)])","(4.0, [(0, 2), (1, 3), (2, 4), (3, 5), (4, 1), (5, 0)])","(10.0, [(0, 1), (1, 2), (2, 3), (3, 0), (4, 4), (5, 5)])","(8.0, [(0, 1), (1, 5), (2, 4), (3, 0), (4, 3), (5, 2)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 1), (1, 3), (2, 4), (3, 2), (4, 0), (5, 5)])","(8.0, [(0, 0), (1, 2), (2, 4), (3, 1), (4, 5), (5, 3)])","(6.0, [(0, 1), (1, 2), (2, 3), (3, 5), (4, 0), (5, 4)])","(4.0, [(0, 1), (1, 2), (2, 5), (3, 0), (4, 3), (5, 4)])","(4.0, [(0, 2), (1, 3), (2, 1), (3, 5), (4, 4), (5, 0)])","(inf, [])","(6.0, [(0, 2), (1, 4), (2, 5), (3, 0), (4, 3), (5, 1)])",6
51,51,51,153,Graph with 6 nodes and 10 edges,Graph with 6 nodes and 10 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 2), (1, 4), (2, 0), (3, 5), (4, 1), (5, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(2.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 5), (5, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(6.0, [(0, 3), (1, 5), (2, 4), (3, 1), (4, 2), (5, 0)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 2), (1, 4), (2, 0), (3, 5), (4, 1), (5, 3)])","(2.0, [(0, 3), (1, 5), (2, 4), (3, 0), (4, 2), (5, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])",6
52,52,52,156,Graph with 6 nodes and 10 edges,Graph with 6 nodes and 12 edges,2.0,"(8.0, [(0, 2), (1, 4), (2, 3), (3, 0), (4, 5), (5, 1)])","(8.0, [(0, 2), (1, 4), (2, 3), (3, 0), (4, 5), (5, 1)])","(6.0, [(0, 2), (1, 5), (2, 3), (3, 0), (4, 1), (5, 4)])","(8.0, [(0, 2), (1, 4), (2, 3), (3, 0), (4, 5), (5, 1)])","(inf, [])","(inf, [])","(inf, [])","(4.0, [(0, 0), (1, 3), (2, 4), (3, 5), (4, 2), (5, 1)])","(2.0, [(0, 2), (1, 5), (2, 1), (3, 4), (4, 0), (5, 3)])","(8.0, [(0, 2), (1, 4), (2, 3), (3, 0), (4, 5), (5, 1)])","(2.0, [(0, 1), (1, 2), (2, 4), (3, 3), (4, 0), (5, 5)])","(8.0, [(0, 2), (1, 4), (2, 3), (3, 0), (4, 5), (5, 1)])","(20.0, [(0, 0), (1, 2), (2, 4), (3, 18446744073709551614), (4, 5), (5, 1), (18446744073709551614, 3)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 2), (1, 0), (2, 4), (3, 1), (4, 3), (5, 5)])","(8.0, [(0, 2), (1, 3), (2, 4), (3, 0), (4, 5), (5, 1)])","(2.0, [(0, 2), (1, 5), (2, 1), (3, 0), (4, 4), (5, 3)])","(2.0, [(0, 5), (1, 4), (2, 2), (3, 3), (4, 1), (5, 0)])","(2.0, [(0, 3), (1, 0), (2, 5), (3, 1), (4, 2), (5, 4)])","(inf, [])","(8.0, [(0, 2), (1, 4), (2, 3), (3, 0), (4, 5), (5, 1)])",6
53,53,53,159,Graph with 6 nodes and 12 edges,Graph with 6 nodes and 4 edges,8.0,"(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 4), (4, 3), (5, 5)])","(8.0, [(0, 1), (1, 4), (2, 0), (3, 3), (4, 5), (5, 2)])","(12.0, [(0, 3), (1, 5), (2, 2), (3, 0), (4, 1), (5, 4)])","(8.0, [(0, 0), (1, 5), (2, 1), (3, 3), (4, 4), (5, 2)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(30.0, [(0, 3), (1, 18446744073709551614), (2, 2), (3, 0), (4, 5), (5, 18446744073709551614), (18446744073709551614, 1), (18446744073709551614, 4)])","(8.0, [(0, 2), (1, 0), (2, 4), (3, 1), (4, 5), (5, 3)])","(8.0, [(0, 5), (1, 2), (2, 3), (3, 0), (4, 1), (5, 4)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(12.0, [(0, 3), (1, 5), (2, 2), (3, 0), (4, 1), (5, 4)])",6
54,54,54,162,Graph with 6 nodes and 12 edges,Graph with 6 nodes and 6 edges,6.0,"(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(6.0, [(0, 0), (1, 2), (2, 1), (3, 4), (4, 3), (5, 5)])","(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(6.0, [(0, 0), (1, 2), (2, 4), (3, 1), (4, 3), (5, 5)])","(6.0, [(0, 5), (1, 2), (2, 1), (3, 0), (4, 4), (5, 3)])","(8.0, [(0, 0), (1, 4), (2, 2), (3, 5), (4, 1), (5, 3)])","(6.0, [(0, 0), (1, 1), (2, 5), (3, 2), (4, 3), (5, 4)])","(8.0, [(0, 0), (1, 2), (2, 1), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 2), (2, 3), (3, 1), (4, 4), (5, 5)])","(10.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 4), (1, 0), (2, 1), (3, 2), (4, 5), (5, 3)])","(10.0, [(0, 5), (1, 2), (2, 0), (3, 1), (4, 3), (5, 4)])","(6.0, [(0, 1), (1, 4), (2, 2), (3, 0), (4, 5), (5, 3)])","(6.0, [(0, 3), (1, 5), (2, 1), (3, 2), (4, 0), (5, 4)])","(6.0, [(0, 2), (1, 4), (2, 5), (3, 0), (4, 1), (5, 3)])","(inf, [])","(8.0, [(0, 0), (1, 4), (2, 2), (3, 5), (4, 1), (5, 3)])",6
55,55,55,165,Graph with 6 nodes and 12 edges,Graph with 6 nodes and 10 edges,2.0,"(8.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 2), (5, 4)])","(8.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 2), (5, 4)])","(6.0, [(0, 3), (1, 5), (2, 1), (3, 0), (4, 2), (5, 4)])","(8.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 2), (5, 4)])","(inf, [])","(inf, [])","(inf, [])","(4.0, [(0, 0), (1, 5), (2, 1), (3, 4), (4, 2), (5, 3)])","(2.0, [(0, 3), (1, 0), (2, 1), (3, 2), (4, 4), (5, 5)])","(8.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 2), (5, 4)])","(2.0, [(0, 3), (1, 0), (2, 1), (3, 2), (4, 4), (5, 5)])","(8.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 2), (5, 4)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(8.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(52.0, [(0, 18446744073709551614), (1, 18446744073709551614), (2, 3), (3, 5), (4, 18446744073709551614), (5, 18446744073709551614), (18446744073709551614, 0), (18446744073709551614, 1), (18446744073709551614, 2), (18446744073709551614, 4)])","(8.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 2), (5, 4)])","(2.0, [(0, 1), (1, 4), (2, 2), (3, 3), (4, 5), (5, 0)])","(2.0, [(0, 2), (1, 0), (2, 1), (3, 3), (4, 4), (5, 5)])","(2.0, [(0, 3), (1, 1), (2, 0), (3, 5), (4, 4), (5, 2)])","(inf, [])","(8.0, [(0, 3), (1, 5), (2, 0), (3, 1), (4, 2), (5, 4)])",6
56,56,56,168,Graph with 6 nodes and 12 edges,Graph with 6 nodes and 12 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 4), (1, 1), (2, 2), (3, 3), (4, 0), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(2.0, [(0, 4), (1, 5), (2, 2), (3, 0), (4, 3), (5, 1)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(4.0, [(0, 1), (1, 4), (2, 3), (3, 5), (4, 2), (5, 0)])","(4.0, [(0, 0), (1, 1), (2, 3), (3, 2), (4, 4), (5, 5)])","(0.0, [(0, 0), (1, 5), (2, 2), (3, 3), (4, 4), (5, 1)])","(2.0, [(0, 2), (1, 4), (2, 0), (3, 5), (4, 1), (5, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5)])",6
57,57,57,171,Graph with 7 nodes and 5 edges,Graph with 7 nodes and 5 edges,0.0,"(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(inf, [])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(2.0, [(0, 4), (1, 2), (2, 5), (3, 3), (4, 6), (5, 1), (6, 0)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(2.0, [(0, 0), (1, 1), (2, 5), (3, 2), (4, 6), (5, 3), (6, 4)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(4.0, [(0, 0), (1, 1), (2, 6), (3, 2), (4, 5), (5, 4), (6, 3)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(4.0, [(0, 2), (1, 4), (2, 6), (3, 0), (4, 5), (5, 3), (6, 1)])","(2.0, [(0, 4), (1, 2), (2, 1), (3, 3), (4, 0), (5, 5), (6, 6)])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])","(inf, [])","(0.0, [(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6)])",7
